event_time,order_id,product_id,category_id,category_code,brand,price,user_id
2020-04-30 12:56:49 UTC,2298741890775777297,2273948277323858560,2268105426908217754,,transcend,18.50,1515915625452227998
2020-04-30 12:57:38 UTC,2298742299921743932,1515966223509122556,2268105421933773102,electronics.audio.microphone,,6.92,1515915625448997544
2020-04-30 13:02:35 UTC,2298744794383384924,1515966223509089455,2268105406549066706,computers.peripherals.mouse,logitech,35.86,1515915625452743865
2020-04-30 13:13:52 UTC,2298750474838344582,1515966223509300845,2268105444734010134,furniture.living_room.shelving,none,11.32,1515915625452749921
2020-04-30 13:14:02 UTC,2298750556073624464,1515966223509105052,2268105392741417672,appliances.environment.water_heater,ariston,138.87,1515915625452745199
2020-04-30 13:14:02 UTC,2298750560033047441,1515966223509267491,2268105390300332704,appliances.ironing_board,perilla,41.64,1515915625452742688
2020-04-30 13:14:02 UTC,2298750560033047441,1515966223509130328,2268105644970082640,,perilla,15.02,1515915625452742688
2020-04-30 13:15:02 UTC,2298751063274030026,1515966223509090279,2268105428166508982,electronics.smartphone,huawei,231.23,1515915625452741253
2020-04-30 13:15:57 UTC,2298751518565729273,1515966223509262107,2268105406549066706,computers.peripherals.mouse,bloody,32.38,1515915625452747792
2020-04-30 13:15:57 UTC,2298751518565729273,2273948299721441723,2268105406691673046,computers.peripherals.mouse,hyperx,16.18,1515915625452747792
2020-04-30 13:23:42 UTC,2298755423353700739,1515966223509089896,2268105426648170900,electronics.tablet,prestigio,81.00,1515915625452750771
2020-04-30 13:24:17 UTC,2298755717097587105,1515966223509119518,2268105458625544260,,sony,27.75,1515915625452757092
2020-04-30 13:31:12 UTC,2298759197312942891,1515966223509127912,2268105407220155366,computers.notebook,asus,412.01,1515915625452754479
2020-04-30 13:33:59 UTC,2298760602354451409,1515966223509088671,2268105428166508982,electronics.smartphone,apple,925.67,1515915625452720601
2020-04-30 13:37:46 UTC,2298762505578610852,1515966223509132017,2268105430162997728,electronics.audio.headphone,plantronics,37.01,1515915625445493129
2020-04-30 13:37:46 UTC,2298762505578610852,1515966223509089889,2268105406549066706,computers.peripherals.mouse,bloody,25.44,1515915625445493129
2020-04-30 13:37:57 UTC,2298762597316427948,1515966223509089642,2268105439247860386,appliances.kitchen.microwave,ava,43.96,1515915625452736605
2020-04-30 13:38:11 UTC,2298762713758695608,1515966223509104982,2268105409048870926,computers.network.router,altel,32.38,1515915625441295870
2020-04-30 13:39:27 UTC,2298763347106988281,2273948219484405989,2268105439247860386,appliances.kitchen.microwave,samsung,97.20,1515915625496291684
2020-04-30 13:39:27 UTC,2298763347106988281,1515966223509259702,2268105393035018958,,lihom,196.74,1515915625496291684
2020-04-30 13:39:27 UTC,2298763347106988281,1515966223509616430,2268105393966154464,appliances.kitchen.refrigerators,caso,312.48,1515915625496291684
2020-04-30 13:39:27 UTC,2298763347106988281,1515966223509122366,2268105441487618770,,ecocool,83.31,1515915625496291684
2020-04-30 13:41:07 UTC,2298764188383707472,1515966223509267362,2268105428594328000,electronics.clocks,samsung,347.20,1515915625442045043
2020-04-30 13:44:46 UTC,2298766027107861021,2273948291232170435,2268105447879738202,furniture.living_room.chair,dxracer,231.46,1515915625441514841
2020-04-30 13:46:46 UTC,2298767035124941452,2273948185938363072,2268105426908217754,,transcend,9.00,1515915625446507016
2020-04-30 13:49:45 UTC,2298768533774926627,1515966223509104096,2268105458717818950,,sony,19.88,1515915625441302549
2020-04-30 13:51:33 UTC,2298769443880174467,1515966223509088521,2268105428166508982,electronics.smartphone,samsung,115.72,1515915625452760432
2020-04-30 13:53:36 UTC,2298770467734946801,1515966223509117147,2268105439247860386,appliances.kitchen.microwave,lg,87.94,1515915625452764619
2020-04-30 13:55:18 UTC,2298771324882911312,1515966223509132272,2268105389956399770,appliances.kitchen.washer,samsung,590.02,1515915625444517332
2020-04-30 13:55:18 UTC,2298771324882911312,1515966223509106836,2268105389587301012,appliances.kitchen.dishwasher,electrolux,831.00,1515915625444517332
2020-04-30 13:55:18 UTC,2298771324882911312,1515966223510225639,2268105388555502202,appliances.kitchen.oven,electrolux,361.09,1515915625444517332
